1,33.4,44.29,39.43,1,2
2,32.4,46.29,41.14,1,4
3,28,43.86,39.86,1,3
4,32.4,43.29,40.57,1,4
5,26.3,,,,
6,32.3,41.29,37.14,1,2
7,26.9,44.71,41.14,1,3
8,28.6,41.43,38.5,2,1
9,26.6,42.57,39.86,1,3
10,35.6,47.14,39.29,2,3
11,28,43.86,39.43,1,3
12,34,42,37.71,1,2
13,28.3,43.29,40,1,1
14,29.6,,,,
15,26.9,43.86,41.14,2,1
16,26.7,44.57,39.86,2,1
17,33.9,44.71,41.14,1,2
18,26.4,,,1,1
19,33.4,43.29,39.43,1,2
20,26.4,40.43,39.43,1,3
21,33.7,,,,
22,33,44,39.71,2,4
23,27.3,,,,
24,33.9,,,,
25,28.7,,,,
26,28.3,43.29,39.14,1,1
27,28.7,42.57,38.43,1,1
28,27,45.86,40,1,3
29,26.3,44.14,39.86,2,1
30,34.7,42.71,38.14,2,2
31,28.3,,39.86,2,1
32,26.7,47.57,40.86,1,1
33,27,45,41,2,1
34,26.6,45.43,41,1,1
35,27.3,44.14,40.29,2,3
36,32,44.86,39.29,1,4
37,27.1,45.14,38.43,2,3
38,28.3,42.14,39.86,1,4
39,28.1,,,,
40,27.1,44.14,40,1,1
41,28.6,,,,
42,26.1,,,,
43,26.4,,,,
44,26.6,,,,
45,28.4,45.43,39.86,1,1
46,27.9,,,,
47,26.9,,,,
48,28.7,42.57,40.29,2,1
49,27.4,43.29,40.86,2,3
50,28.4,,,,
51,28,43.57,41.57,1,3
52,28,44.86,40.86,1,3
53,27,39.86,38,2,1
54,26.3,44.14,40.43,1,1
55,28.6,45.43,39.29,1,1
56,34.4,42.43,,1,4
57,28.9,,,,
58,28.1,,,,
59,28.4,,,,
60,26,,,,
61,33.7,42.57,40.14,1,3
62,32.9,,,,
63,28,,,,
64,27.9,,,,
65,33.6,,,,
66,32.3,47.57,,,
67,27.6,42.57,,,
68,28.4,,,,
69,28.1,42.57,,,
70,28.6,,,,
71,28,,,,
72,28.7,,,,
73,28,,,,
74,28.1,,,,
75,28.9,,,,
76,26.1,,,,
77,27,,,,
78,29.3,,,,
79,28.4,,,,
80,28.1,,,,
81,33.3,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
100,22.1,44.0,40.0,1,1
